location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex,price_per_meter
Серпухов,1,5,2,46.0,4850000.0,-1,Вторичка,-1,Наземная,-1,26 м²,6 м²,"2,5 м",Осенняя ,35,0,105435
Серпухов,2,10,1,59.0,11300000.0,2011,Вторичка,1 лоджия,Наземная,-1,"18,1 м²",20 м²,3 м,Советская ,70а,Советская 70А,191525
Серпухов,2,9,1,38.4,4600000.0,1984,Вторичка,1 лоджия,Наземная,-1,15 м²,9 м²,-1,Комсомольская ,4,0,119792
Серпухов,4,6,1,38.9,4000000.0,2009,Вторичка,-1,Наземная,-1,13 м²,"11,2 м²","2,8 м", Химиков,8,0,102828
Серпухов,3,5,1,30.3,3500000.0,1972,Вторичка,1 балкон,Наземная,-1,18 м²,6 м²,"2,6 м",Западная ,38а,0,115512
Дубна,5,5,1,33.0,3700000.0,-1,Вторичка,1 балкон,-1,-1,15 м²,6 м²,-1, Правды,31,0,112121
Дубна,2,5,1,31.2,4900000.0,-1,Вторичка,-1,-1,-1,18 м²,7 м²,-1, Мичурина,23,0,157051
Дубна,8,10,1,34.0,6000000.0,1970,Вторичка,1 лоджия,Наземная,-1,"18,2 м²","7,8 м²","2,6 м", Строителей,12,0,176471
Дубна,5,9,1,50.0,9550000.0,2019,Вторичка,1 балкон,Наземная,-1,25 м²,10 м²,"2,7 м", Программистов,15,на ул. Программистов,191000
Дубна,1,5,1,30.0,4200000.0,1964,Вторичка,-1,Наземная,-1,16 м²,6 м²,"2,4 м", Правды,23,0,140000
Дубна,4,4,1,31.3,5750000.0,-1,Вторичка,1 балкон,Наземная,-1,18 м²,6 м²,"2,7 м", Курчатова,26,0,183706
Дубна,5,9,1,20.0,3700000.0,-1,Вторичка,-1,Наземная,-1,9 м²,5 м²,"2,4 м",Хлебозаводской переулок,24,0,185000
Дубна,3,4,1,45.5,7100000.0,1956,Вторичка,1 балкон,Наземная,-1,18 м²,10 м²,-1,Октябрьская ,15,0,156044
Дубна,4,9,1,32.2,5210000.0,1978,Вторичка,-1,-1,-1,15 м²,6 м²,"2,6 м", Энтузиастов,11к4,0,161801
Дубна,9,14,1,39.0,8100000.0,-1,Вторичка,1 лоджия,Наземная,-1,17 м²,8 м²,-1, Мичурина,3,0,207692
Дубна,5,9,1,29.0,5700000.0,-1,Вторичка,1 балкон,Наземная,-1,14 м²,8 м²,"2,5 м",9 Мая ,8,0,196552
Дубна,1,9,1,20.3,3200000.0,1977,Вторичка,-1,Наземная,-1,"11,4 м²",4 м²,"2,4 м",Хлебозаводской переулок,24,0,157635
Дубна,5,9,1,29.0,4500000.0,-1,Вторичка,-1,Наземная,-1,18 м²,5 м²,"2,4 м",Хлебозаводской переулок,24,0,155172
Дубна,3,9,1,38.8,6500000.0,-1,Вторичка,1 лоджия,-1,-1,20 м²,8 м²,-1, Понтекорво,9,0,167526
Дубна,6,6,1,31.6,5800000.0,2003,Вторичка,-1,Наземная,-1,18 м²,"6,5 м²","2,5 м",Первомайский проезд,5,0,183544
Дубна,3,4,1,32.3,5900000.0,1963,Вторичка,-1,Наземная,-1,18 м²,6 м²,-1, В.И. Векслера,20,0,182663
Дубна,4,9,1,38.3,6100000.0,-1,Вторичка,1 лоджия,Наземная,-1,"19,3 м²","7,5 м²",-1, Энтузиастов,11А,0,159269
Дубна,2,9,1,37.2,6200000.0,-1,Вторичка,1 лоджия,Наземная,-1,"20,7 м²","7,9 м²",-1, Энтузиастов,11к3,0,166667
Дубна,7,14,2,75.4,10103600.0,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс,134000
Дубна,8,9,2,59.0,9900000.0,-1,Вторичка,2 лоджии,Наземная,-1,-1,9 м²,-1, Понтекорво,9,0,167797
Дубна,1,2,2,47.7,5500000.0,1952,Вторичка,-1,Наземная,-1,33 м²,"4,1 м²",3 м, Курчатова,7,0,115304
Дубна,2,9,2,69.3,9979200.0,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко,144000
Дубна,18,18,2,70.3,16500000.0,2007,Вторичка,2 лоджии,Многоуровневая,-1,-1,12 м²,"2,7 м", Понтекорво,6,0,234708
Дубна,2,14,2,50.7,7000000.0,1973,Вторичка,1 лоджия,Наземная,-1,32 м²,8 м²,"2,7 м", В.И. Векслера,11,0,138067
Дубна,1,9,2,75.1,10664200.0,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко,142000
Дубна,3,9,2,51.0,8700000.0,-1,Вторичка,1 лоджия,-1,-1,"28,6 м²","7,7 м²",-1, Энтузиастов,11к6,0,170588
Дубна,9,9,2,54.3,8200000.0,1995,Вторичка,1 лоджия,Наземная,-1,30 м²,"8,1 м²","2,7 м", Понтекорво,2,0,151013
Дубна,1,9,2,67.7,9613400.0,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко,142000
Дубна,1,9,2,57.4,7800000.0,1976,Вторичка,1 лоджия,Наземная,-1,30 м²,9 м²,"2,5 м", Энтузиастов,11к6,0,135889
Дубна,9,9,2,69.5,10147000.0,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко,146000
Дубна,9,12,2,69.3,12000000.0,-1,Вторичка,2 лоджии,-1,-1,"41,5 м²","9,3 м²","2,73 м",Тверская ,8,0,173160
Дубна,2,2,2,59.3,9700000.0,1952,Вторичка,1 балкон,Наземная,-1,"31,2 м²","10,2 м²",3 м, Ленина,9,0,163575
Дубна,1,9,3,86.8,10850000.0,2024,Новостройка,-1,-1,-1,-1,-1,-1, Программистов,11,по ул. Макаренко,125000
Дубна,1,2,3,92.6,18800000.0,2009,Вторичка,-1,Наземная,-1,"56,5 м²","10,6 м²",-1, Флотская,2,0,203024
Дубна,2,5,3,64.4,12700000.0,2004,Вторичка,1 лоджия,Наземная,-1,50 м²,"8,5 м²",-1,проспект Боголюбова,16,0,197205
Дубна,2,14,3,94.0,11797000.0,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс,125500
Дубна,13,14,3,75.3,13200000.0,1982,Вторичка,1 лоджия,Наземная,-1,"48,8 м²","9,1 м²",-1, Понтекорво,17,0,175299
Дубна,3,4,3,55.1,7600000.0,1956,Вторичка,1 балкон,Наземная,-1,37 м²,"4,5 м²",-1, Мира,17,0,137931
Дубна,9,14,3,121.5,15248250.0,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс,125500
Дубна,2,5,3,73.7,15500000.0,1959,Вторичка,-1,Наземная,-1,"50,5 м²","7,8 м²",3 м,Центральная ,4,0,210312
Дубна,3,9,3,56.4,7700000.0,-1,Вторичка,1 балкон,Наземная,-1,"37,7 м²","6,7 м²",-1, Энтузиастов,3а,0,136525
Дубна,6,14,3,126.1,15825550.0,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс,125500
Дубна,9,9,3,60.6,10500000.0,-1,Вторичка,1 лоджия,-1,-1,"39,4 м²","7,9 м²","2,7 м", Попова,6,0,173267
Дубна,2,2,3,81.0,13500000.0,1953,Вторичка,-1,Наземная,-1,52 м²,10 м²,3 м,Центральная ,4А,0,166667
Дубна,10,14,3,93.4,13076000.0,2025,Новостройка,-1,-1,-1,-1,-1,-1,0,0,Феникс,140000
Москва,8,59,3,56.1,0.0,2028,Новостройка,-1,-1,Монолитно-кирпичный,"36,1 м²",-1,"2,85 м",0,0,Веер ЖК,0
Москва,11,12,1,33.5,8000000.0,1972,Вторичка,1 балкон,Наземная,-1,17 м²,7 м²,"2,5 м",3-й Дорожный проезд,6К1,0,238806
Москва,10,10,1,38.5,11280000.0,1994,Вторичка,1 лоджия,-1,-1,"20,7 м²","8,4 м²",-1,Жулебинский бульвар,6/11,0,292987
Москва,9,14,1,38.5,7000000.0,1993,Вторичка,1 балкон,Наземная,-1,18 м²,8 м²,"2,64 м",Зеленоград,к1524,0,181818
Москва,3,15,1,54.0,14500000.0,2016,Вторичка,1 лоджия,Подземная,-1,30 м²,12 м²,"2,8 м", Татьянин Парк,14к2,Татьянин Парк,268519
Москва,3,9,1,33.0,9100000.0,1978,Вторичка,-1,-1,-1,18 м²,6 м²,"2,7 м", Рокотова,7К2,0,275758
Москва,20,30,1,23.72,6698113.0,2027,Новостройка,-1,Открытая,Монолитно-кирпичный,"10,3 м²","5,5 м²","3,15 м",0,к2,Квартал Герцена ЖК,282383
Москва,2,7,1,43.14,7204380.0,2024,Новостройка,-1,-1,-1,-1,-1,-1,0,к6,Эдельвейс ЖК,167000
Москва,14,24,3,88.0,30500000.0,2004,Вторичка,2 лоджии,Наземная,-1,-1,11 м²,-1,Фестивальная ,17К1,0,346591
Москва,15,30,3,105.9,37890000.0,2023,Вторичка,-1,Подземная,-1,"51,2 м²","28,4 м²","3,3 м", Петра Алексеева,14,КутузовGRAD II,357790
Москва,19,28,3,85.0,30500000.0,-1,Вторичка,1 лоджия,-1,-1,50 м²,15 м²,-1,проезд Невельского,1к1,Символ,358824
Москва,1,5,3,55.4,15500000.0,1959,Вторичка,-1,Открытая,-1,"34,3 м²","5,6 м²",-1,Большая Остроумовская ,17,0,279783
Москва,2,9,3,80.8,10180800.0,2024,Новостройка,-1,-1,-1,-1,-1,-1,0,к4А,Эдельвейс ЖК,126000
Москва,2,15,3,59.3,11539780.0,2025,Новостройка / Апартаменты,-1,Наземная,Монолитно-кирпичный,"40,5 м²","5,1 м²","2,82 м",0,к2,Движение. Говорово ЖК,194600
